# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=2.09386e-07 to 33.2194 h/Mpc,
# number of wavenumbers equal to 144
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       9.223050032088e-02      -3.780249308703e-01      -1.023557705047e+02      -1.505309776946e+02      -3.373307003099e-01      -1.388435652323e+02       8.869386668719e-02       8.869369064712e-02      -8.812502222870e-04       1.715515643266e-01       1.811363240533e-01      -3.663756303965e-04       1.727665562136e-01 
       9.555054522866e-02      -3.120551437515e-01      -1.013609820815e+02      -1.541652914745e+02      -3.548249992933e-01      -1.416650370514e+02       8.432383424697e-02       8.432412920030e-02       3.435240174756e-04       1.742599401562e-01       1.849655884704e-01       4.755221770465e-04       1.763211279676e-01 
       9.894417554219e-02      -3.474572012692e-01      -1.012041743852e+02      -1.578891536505e+02      -3.074753643804e-01      -1.446887773898e+02       8.032350026863e-02       8.032322516747e-02       8.557164446919e-05       1.774795249115e-01       1.890149525453e-01      -5.780912277145e-04       1.800686172404e-01 
       1.024188274995e-01      -2.843062041756e-01      -1.024008558837e+02      -1.618248442021e+02      -3.221016145615e-01      -1.480917046644e+02       7.673453787081e-02       7.673478720627e-02      -5.128921038371e-04       1.815311746649e-01       1.935012442598e-01       5.715302724133e-04       1.843228231942e-01 
       1.059815385479e-01      -3.140380234449e-01      -1.053539510008e+02      -1.660822386948e+02      -2.810314367906e-01      -1.520271714492e+02       7.357150385273e-02       7.357135151289e-02       8.111185494252e-04       1.866673098840e-01       1.986110679534e-01      -5.557556200765e-04       1.892543946298e-01 
       1.096390554047e-01      -2.688941586247e-01      -1.102724399481e+02      -1.707408720144e+02      -2.993063790080e-01      -1.565906938835e+02       7.081272112727e-02       7.081280548882e-02      -1.041045805824e-03       1.930217883509e-01       2.044682380736e-01       4.213184148028e-04       1.949374347872e-01 
       1.133979142340e-01      -2.853271629833e-01      -1.170995038252e+02      -1.758320649271e+02      -2.585779505571e-01      -1.618001547948e+02       6.840214080054e-02       6.840213559400e-02       1.095620257040e-03       2.005655581617e-01       2.111025758701e-01      -2.419447289711e-04       2.014946323869e-01 
       1.172645005756e-01      -2.559132253805e-01      -1.254671400558e+02      -1.813245962629e+02      -2.818590642768e-01      -1.675734022973e+02       6.625158151124e-02       6.625157686219e-02      -1.086292708652e-03       2.090780406467e-01       2.184263248710e-01      -8.525943693550e-05       2.086728732866e-01 
       1.212450943257e-01      -2.672077525707e-01      -1.346956724873e+02      -1.871181074838e+02      -2.442670574458e-01      -1.737244704587e+02       6.425080148818e-02       6.425079219758e-02       9.545018770572e-04       2.181466146843e-01       2.262263766116e-01       4.497494887444e-04       2.164222460420e-01 
       1.253459035466e-01      -2.370602003066e-01      -1.438541135115e+02      -1.930483504649e+02      -2.576074681570e-01      -1.799766277992e+02       6.228192897137e-02       6.228200889650e-02      -8.198081403859e-04       2.272029669246e-01       2.341784476435e-01      -8.282695357860e-04       2.241789588736e-01 
       1.295730898869e-01      -2.505125241212e-01      -1.518894587661e+02      -1.989072611925e+02      -2.433551876506e-01      -1.859992481124e+02       6.023745748626e-02       6.023724755415e-02       3.511666423870e-04       2.356027546674e-01       2.418890542719e-01       9.306942459932e-04       2.317541063650e-01 
       1.339327877290e-01      -1.990693470690e-01      -1.578189322196e+02      -2.044782731265e+02      -2.221493932451e-01      -1.914633471559e+02       5.803829194426e-02       5.803841848380e-02      -5.215744726760e-04       2.427435748953e-01       2.489637256025e-01      -6.049753101981e-04       2.385259986356e-01 
       1.384311187385e-01      -2.013952193506e-01      -1.609598901999e+02      -2.095833910119e+02      -2.365689126752e-01      -1.961214871826e+02       5.565152069188e-02       5.565113472570e-02      -8.850195856771e-04       2.482071267842e-01       2.550950948363e-01      -2.074351251154e-04       2.443209711170e-01 
       1.430742031964e-01      -1.915066243374e-01      -1.611508281373e+02      -2.141337307703e+02      -2.087986686974e-01      -1.998742104598e+02       5.309685482763e-02       5.309694819066e-02       1.343116208558e-03       2.518956848656e-01       2.601536480859e-01       8.805419566430e-04       2.490467536091e-01 
       1.478681693041e-01      -2.829101464164e-01      -1.588998837275e+02      -2.181706946550e+02      -1.933803161278e-01      -2.028356055231e+02       5.044800688135e-02       5.044839491322e-02       1.744057935433e-04       2.541240782797e-01       2.642574762210e-01      -6.423562813398e-04       2.526606177668e-01 
       1.528191615210e-01      -2.954010341332e-01      -1.553930015355e+02      -2.218825724370e+02      -2.023784748551e-01      -2.053380201841e+02       4.781635930702e-02       4.781648275335e-02      -1.316236780967e-03       2.556245926732e-01       2.677931898509e-01      -5.081925545808e-04       2.557223581974e-01 
       1.579333489200e-01      -1.082174708198e-01      -1.523111202526e+02      -2.255830519560e+02      -1.870905130310e-01      -2.078923462739e+02       4.532796358265e-02       4.532792308568e-02      -1.689095970059e-03       2.574337428712e-01       2.713650590569e-01       8.400902114739e-04       2.589041509065e-01 
